Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Chhattisgarh,Raipur,6,5,0,0,
2020-04-27,Chhattisgarh,Raipur,6,5,0,0,
2020-04-28,Chhattisgarh,Raipur,6,5,0,0,
2020-04-29,Chhattisgarh,Raipur,6,5,0,0,
2020-04-30,Chhattisgarh,Raipur,6,5,0,0,
2020-05-01,Chhattisgarh,Raipur,6,5,0,0,
2020-05-02,Chhattisgarh,Raipur,6,5,0,0,
2020-05-03,Chhattisgarh,Raipur,6,5,0,0,
2020-05-04,Chhattisgarh,Raipur,7,5,0,0,
2020-05-05,Chhattisgarh,Raipur,7,5,0,0,
2020-05-06,Chhattisgarh,Raipur,7,5,0,0,
2020-05-07,Chhattisgarh,Raipur,7,5,0,0,
2020-05-08,Chhattisgarh,Raipur,7,6,0,0,
2020-05-09,Chhattisgarh,Raipur,7,6,0,0,
2020-05-10,Chhattisgarh,Raipur,7,6,0,0,
2020-05-11,Chhattisgarh,Raipur,7,6,0,0,
2020-05-12,Chhattisgarh,Raipur,7,7,0,0,
2020-05-13,Chhattisgarh,Raipur,7,7,0,0,
2020-05-14,Chhattisgarh,Raipur,7,7,0,0,
2020-05-15,Chhattisgarh,Raipur,7,7,0,0,
2020-05-16,Chhattisgarh,Raipur,7,7,0,0,
2020-05-17,Chhattisgarh,Raipur,7,7,0,0,
2020-05-18,Chhattisgarh,Raipur,7,7,0,0,
2020-05-19,Chhattisgarh,Raipur,7,7,0,0,5198.0
2020-05-20,Chhattisgarh,Raipur,7,7,0,0,5198.0
2020-05-21,Chhattisgarh,Raipur,8,7,0,0,5493.0
2020-05-22,Chhattisgarh,Raipur,8,7,0,0,5493.0
2020-05-23,Chhattisgarh,Raipur,8,7,0,0,5989.0
2020-05-24,Chhattisgarh,Raipur,8,7,0,0,5989.0
2020-05-25,Chhattisgarh,Raipur,9,7,0,0,6547.0
2020-05-26,Chhattisgarh,Raipur,9,7,0,0,6725.0
2020-05-27,Chhattisgarh,Raipur,9,7,0,0,7081.0
2020-05-28,Chhattisgarh,Raipur,9,7,0,0,7247.0
2020-05-29,Chhattisgarh,Raipur,11,7,1,0,7379.0
2020-05-30,Chhattisgarh,Raipur,13,7,1,0,7379.0
2020-05-31,Chhattisgarh,Raipur,15,8,1,0,7379.0
2020-06-01,Chhattisgarh,Raipur,18,8,1,0,8302.0
2020-06-02,Chhattisgarh,Raipur,18,8,1,0,8795.0
2020-06-03,Chhattisgarh,Raipur,18,8,1,0,9091.0
2020-06-04,Chhattisgarh,Raipur,26,8,1,0,9382.0
2020-06-05,Chhattisgarh,Raipur,30,8,1,0,9920.0
2020-06-06,Chhattisgarh,Raipur,34,9,1,0,10764.0
2020-06-07,Chhattisgarh,Raipur,82,9,1,0,11499.0
2020-06-08,Chhattisgarh,Raipur,90,10,1,0,11710.0
2020-06-09,Chhattisgarh,Raipur,97,11,1,0,11924.0
2020-06-10,Chhattisgarh,Raipur,99,11,1,0,12090.0
2020-06-11,Chhattisgarh,Raipur,104,12,1,0,11993.0
2020-06-12,Chhattisgarh,Raipur,113,21,1,0,12377.0
2020-06-13,Chhattisgarh,Raipur,128,30,1,0,12575.0
2020-06-14,Chhattisgarh,Raipur,134,40,1,0,12704.0
2020-06-15,Chhattisgarh,Raipur,141,48,1,0,12704.0
2020-06-16,Chhattisgarh,Raipur,152,58,1,0,12704.0
2020-06-17,Chhattisgarh,Raipur,177,63,1,0,12704.0
2020-06-18,Chhattisgarh,Raipur,183,89,1,0,12704.0
2020-06-19,Chhattisgarh,Raipur,192,89,1,0,12704.0
2020-06-20,Chhattisgarh,Raipur,196,100,1,0,12704.0
2020-06-21,Chhattisgarh,Raipur,213,104,1,0,12704.0
2020-06-22,Chhattisgarh,Raipur,224,115,1,0,12704.0
2020-06-23,Chhattisgarh,Raipur,230,122,1,0,12704.0
2020-06-24,Chhattisgarh,Raipur,236,127,1,0,12704.0
2020-06-25,Chhattisgarh,Raipur,245,150,1,0,12704.0
2020-06-26,Chhattisgarh,Raipur,259,164,1,0,12704.0
2020-06-27,Chhattisgarh,Raipur,261,178,1,0,12704.0
2020-06-28,Chhattisgarh,Raipur,266,180,1,0,12704.0
2020-06-29,Chhattisgarh,Raipur,275,187,1,0,12704.0
2020-06-30,Chhattisgarh,Raipur,324,196,1,0,12704.0
2020-07-01,Chhattisgarh,Raipur,355,199,2,0,12704.0
2020-07-02,Chhattisgarh,Raipur,373,204,2,0,12704.0
2020-07-03,Chhattisgarh,Raipur,380,211,2,0,12704.0
2020-07-04,Chhattisgarh,Raipur,412,225,2,0,12704.0
2020-07-05,Chhattisgarh,Raipur,427,227,2,0,12704.0
2020-07-06,Chhattisgarh,Raipur,446,233,2,0,12704.0
2020-07-07,Chhattisgarh,Raipur,492,244,2,0,12704.0
2020-07-08,Chhattisgarh,Raipur,511,254,2,0,12704.0
2020-07-09,Chhattisgarh,Raipur,568,269,2,0,12704.0
2020-07-10,Chhattisgarh,Raipur,602,322,2,0,12704.0
2020-07-11,Chhattisgarh,Raipur,638,340,2,0,12704.0
2020-07-12,Chhattisgarh,Raipur,737,359,3,0,12704.0
2020-07-13,Chhattisgarh,Raipur,824,385,3,0,12704.0
2020-07-14,Chhattisgarh,Raipur,841,410,4,0,12704.0
2020-07-15,Chhattisgarh,Raipur,918,410,4,0,12704.0
2020-07-16,Chhattisgarh,Raipur,975,462,4,0,12704.0
2020-07-17,Chhattisgarh,Raipur,1102,463,6,0,12704.0
2020-07-18,Chhattisgarh,Raipur,1127,533,6,0,12704.0
2020-07-19,Chhattisgarh,Raipur,1172,545,6,0,12704.0
2020-07-20,Chhattisgarh,Raipur,1252,602,9,0,12704.0
2020-07-21,Chhattisgarh,Raipur,1314,684,10,0,12704.0
2020-07-22,Chhattisgarh,Raipur,1402,697,10,0,12704.0
2020-07-23,Chhattisgarh,Raipur,1607,715,14,0,12704.0
2020-07-24,Chhattisgarh,Raipur,1854,778,15,0,12704.0
2020-07-25,Chhattisgarh,Raipur,1988,804,18,0,12704.0
2020-07-26,Chhattisgarh,Raipur,2187,916,19,0,12704.0
2020-07-27,Chhattisgarh,Raipur,2366,1003,20,0,12704.0
2020-07-28,Chhattisgarh,Raipur,2524,1123,20,0,12704.0
2020-07-29,Chhattisgarh,Raipur,2659,1232,22,0,12704.0
2020-07-30,Chhattisgarh,Raipur,2763,1338,23,0,12704.0
2020-07-31,Chhattisgarh,Raipur,2947,1460,25,0,12704.0
2020-08-01,Chhattisgarh,Raipur,3045,1664,26,0,12704.0
2020-08-02,Chhattisgarh,Raipur,3112,1816,29,0,12704.0
2020-08-03,Chhattisgarh,Raipur,3181,1941,31,0,12704.0
2020-08-04,Chhattisgarh,Raipur,3338,2119,34,0,12704.0
2020-08-05,Chhattisgarh,Raipur,3480,2215,35,0,12704.0
2020-08-06,Chhattisgarh,Raipur,3673,2325,38,0,12704.0
2020-08-07,Chhattisgarh,Raipur,3834,2413,42,0,12704.0
2020-08-08,Chhattisgarh,Raipur,3979,2490,44,0,12704.0
2020-08-09,Chhattisgarh,Raipur,4088,2616,45,0,12704.0
2020-08-10,Chhattisgarh,Raipur,4307,2676,45,0,12704.0
2020-08-11,Chhattisgarh,Raipur,4412,2733,47,0,12704.0
2020-08-12,Chhattisgarh,Raipur,4594,2840,50,0,12704.0
2020-08-13,Chhattisgarh,Raipur,4789,2900,57,0,12704.0
2020-08-14,Chhattisgarh,Raipur,4973,2974,68,0,12704.0
2020-08-15,Chhattisgarh,Raipur,5190,3054,71,0,12704.0
2020-08-16,Chhattisgarh,Raipur,5436,3084,76,0,12704.0
2020-08-17,Chhattisgarh,Raipur,5626,3296,79,0,12704.0
2020-08-18,Chhattisgarh,Raipur,5893,3356,86,0,12704.0
2020-08-19,Chhattisgarh,Raipur,6213,3457,89,0,12704.0
2020-08-20,Chhattisgarh,Raipur,6554,3735,93,0,12704.0
2020-08-21,Chhattisgarh,Raipur,6890,3810,98,0,12704.0
2020-08-22,Chhattisgarh,Raipur,7125,3893,102,0,12704.0
2020-08-23,Chhattisgarh,Raipur,7365,4006,105,0,12704.0
2020-08-24,Chhattisgarh,Raipur,7663,4128,112,0,12704.0
2020-08-25,Chhattisgarh,Raipur,8118,4227,118,0,12704.0
2020-08-26,Chhattisgarh,Raipur,8736,4353,123,0,12704.0
2020-08-27,Chhattisgarh,Raipur,9229,4591,133,0,12704.0
2020-08-28,Chhattisgarh,Raipur,9677,4745,137,0,12704.0
2020-08-29,Chhattisgarh,Raipur,10307,4934,139,0,12704.0
2020-08-30,Chhattisgarh,Raipur,10976,5058,144,0,12704.0
2020-08-31,Chhattisgarh,Raipur,11334,5249,147,0,12704.0
2020-09-01,Chhattisgarh,Raipur,12000,5350,150,0,12704.0
2020-09-02,Chhattisgarh,Raipur,12978,5479,155,0,12704.0
2020-09-03,Chhattisgarh,Raipur,13690,5707,164,0,12704.0
2020-09-04,Chhattisgarh,Raipur,14623,5863,177,0,12704.0
2020-09-05,Chhattisgarh,Raipur,15501,6110,187,0,12704.0
2020-09-06,Chhattisgarh,Raipur,16212,6438,200,0,12704.0
2020-09-07,Chhattisgarh,Raipur,16866,6745,207,0,12704.0
2020-09-08,Chhattisgarh,Raipur,17654,6858,212,0,12704.0
2020-09-09,Chhattisgarh,Raipur,18660,7224,218,0,12704.0
2020-09-10,Chhattisgarh,Raipur,19525,7452,223,0,12704.0
2020-09-11,Chhattisgarh,Raipur,20465,7669,239,0,12704.0
